04/09/2020,CALI,4794,KUMIS ORIG BOL 150G,Kumis Alpina,21/09/2020,2.0,17,446.44941,893.0
04/09/2020,CALI,1606,Q CAMPE BLOQ 250G,Queso Campesino,21/09/2020,86.0,17,5329.98603,458379.0
04/09/2020,CALI,15447,#N/D,Queso Campesino,21/09/2020,127.0,17,3213.0,408051.0
04/09/2020,CALI,15665,#N/D,Yogurt Finesse,20/09/2020,38.0,16,0.0,0.0
04/09/2020,CALI,10011,ALPINITO MOR 90G X4UND,Alpinito,19/09/2020,68.0,15,3319.35183,225716.0
04/09/2020,CALI,14897,FRUTTO LITTERAL VERDE 305 ML,Frutto,18/09/2020,61.0,14,5072.89554,309447.0
04/09/2020,CALI,4700,MPLX6 RGN TZOS BISAB VASO 150G,Regeneris,17/09/2020,10.0,13,5247.97956,52480.0
04/09/2020,CALI,15537,#N/D,Yogo Yogo,17/09/2020,4330.0,13,413.1,1788723.0
04/09/2020,CALI,560626,AREPA MAXI RPLT PAQ 640G,Don Maiz,17/09/2020,8.0,13,18168.75,145350.0
04/09/2020,CALI,11302,YOX NJAMIEL BOT 100G,Yox,17/09/2020,177.0,13,447.85548,79270.0
04/09/2020,CALI,10157,MPLX6 RGN CER PITA VASO 150G,Regeneris,17/09/2020,7.0,13,5582.04129,39074.0
04/09/2020,CALI,5506,YOG GRIEGO MOR-ARAND VASO 150G,Yogurt Griego,17/09/2020,23.0,13,1257.94611,28933.0
04/09/2020,CALI,15537,#N/D,Yogo Yogo,16/09/2020,162.0,12,413.1,66922.0
04/09/2020,CALI,6140,YOG ORIG FRTROJ VASO 200G,Yogurt Alpina,16/09/2020,45.0,12,928.16532,41767.0
04/09/2020,CALI,4794,KUMIS ORIG BOL 150G,Kumis Alpina,16/09/2020,7.0,12,446.44941,3125.0
04/09/2020,CALI,15536,#N/D,Yogo Yogo,16/09/2020,184.0,12,413.1,76010.0
04/09/2020,CALI,11248,Q FNSSE DESL BLOQ 250G,Queso Finesse,16/09/2020,11.0,12,6398.2305,70381.0
04/09/2020,CALI,14860,YOGURT NATURAL BANANO 113G,Baby Gu,15/09/2020,9.0,11,783.43191,7051.0
04/09/2020,CALI,6259,MPL X6 UND A.L FNSSE 150G,Yogurt Finesse,15/09/2020,3.0,11,5155.45128,15466.0
04/09/2020,CALI,10008,ALPINITO MOR 45G X4UND TAT,Alpinito,15/09/2020,31.0,11,1786.94667,55395.0
04/09/2020,CALI,4178,A.L FNSSE MELOC VASO 150G,Yogurt Finesse,15/09/2020,352.0,11,753.55101,265250.0
04/09/2020,CALI,4756,YOGO MOR BOL 150G,Yogo Yogo,15/09/2020,15.0,11,351.15642,5267.0
04/09/2020,CALI,4743,MPL X8 UND YOGO MULTSAB BOL 150G,Yogo Yogo,15/09/2020,1.0,11,3035.27061,3035.0
04/09/2020,CALI,5059,MPLX10 YOGO MULTSAB BOL 150G CON,Yogo Yogo,15/09/2020,1.0,11,3762.84834,3763.0
04/09/2020,CALI,14853,MEZCLA CEREALES TRES CEREALES MANZ 113G,Baby Gu,15/09/2020,2535.0,11,1245.44295,3157198.0
